Volcanoes;Event ID;Date;Time;Latitude;Longitude;Depth;Mag Type;Magnitude;Volume ;VEI approximatif;Region;Country
Santorin;11946380;12-02-25;08:37:47;364.302;254.946;10;MA;4.3;79810492.60;3;DODECANESE ISLANDS;GREECE
Santorin;11933823;09-02-25;18:53:57;363.994;255.156;10;MA;4.7;200474893.50;3;DODECANESE ISLANDS;GREECE
Santorin;11933599;09-02-25;01:35:15;364.503;254.819;10;MA;4.5;126491106.40;3;DODECANESE ISLANDS;GREECE
Santorin;11933364;08-02-25;09:24:02;363.756;254.977;10;MA;4.6;159242868.20;3;DODECANESE ISLANDS;GREECE
Santorin;11405253;20-04-21;08:21:56;364.447;25.47;10;MA;4.2;63395727.70;3;DODECANESE ISLANDS;GREECE
Santorin;10724958;03-04-18;10:24:58;36.444;253.884;10;MA;4.2;63395727.70;3;DODECANESE ISLANDS;GREECE
Santorin;10878280;27-08-15;15:07:03;363.168;254.523;17.6;ML;1.4;100475.46;1;DODECANESE ISLANDS;GREECE
Santorin;10813622;06-07-15;04:39:53;364.418;254.982;3.3;ML;1.3;79810.49;1;DODECANESE ISLANDS;GREECE
Santorin;10813590;06-07-15;03:55:11;364.312;25.457;0;ML;1.2;63395.73;1;DODECANESE ISLANDS;GREECE
Santorin;10757351;26-05-15;19:14:16;36.359;254.732;3.8;ML;1.9;317731.29;1;DODECANESE ISLANDS;GREECE
Santorin;10712613;26-04-15;08:02:27;36.402;254.543;0.9;ML;1.6;159242.87;1;DODECANESE ISLANDS;GREECE
Santorin;10570525;06-01-15;00:47:47;364.393;254.657;5;ML;1.9;317731.29;1;DODECANESE ISLANDS;GREECE
Santorin;10570434;05-01-15;22:49:52;36.439;254.522;6.2;ML;1.6;159242.87;1;DODECANESE ISLANDS;GREECE
Etna;10873716;22-08-15;14:42:53;378.118;150.048;25.2;MB;2;400000.00;1;SICILY; ITALY
Etna;10868380;17-08-15;02:18:26;37.737;150.693;7.2;MB;1.5;126491.11;1;SICILY; ITALY
Etna;10863374;12-08-15;11:41:46;378.258;149.755;29.9;MB;1.4;100475.46;1;SICILY; ITALY
Etna;10863367;12-08-15;11:35:53;378.248;149.757;28.6;MB;1.5;126491.11;1;SICILY; ITALY
Etna;10863030;12-08-15;03:56:14;378.155;15.029;30;MB;1.5;126491.11;1;SICILY; ITALY
Etna;10988979;24-12-18;16:50:11;377.026;150.754;10;MA;4.3;79810492.60;3;SICILY; ITALY
Etna;11028102;19-04-19;20:46:33;376.696;149.246;5;MA;1.8;252382.94;1;SICILY; ITALY
Vesuvio;10734471;05-05-15;10:30:25;407.857;144.903;0.5;MB;2.2;633957.28;1;SOUTHERN ; ITALY
Vulcano;11629587;04-12-22;07:12:45;384.069;149.605;14.722;MA;4.4;100475457.30;3;SICILY; ITALY
Vulcano;10814790;07-07-15;08:29:20;383.518;150.202;8.4;MB;1.3;79810.49;1;SICILY; ITALY
Vulcano;10810420;03-07-15;04:37:04;383.608;150.203;9.9;MB;1.2;63395.73;1;SICILY; ITALY
Vulcano;10796353;26-06-15;03:52:40;384.728;148.788;7.3;MB;1.8;252382.94;1;SICILY; ITALY
Vulcano;10686833;01-04-15;12:51:26;383.582;148.553;10.2;MB;2.2;633957.28;1;SICILY; ITALY
Vulcano;10579346;15-01-15;07:50:09;383.732;150.637;5.2;MB;2.4;1004754.57;2;SICILY; ITALY
Lipari;11629587;04-12-22;07:12:45;384.069;149.605;14.722;MA;4.4;100475457.30;3;SICILY; ITALY
Lipari;11503163;01-12-21;22:44:13;385.721;14.973;225.42;MA;4.4;100475457.30;3;SICILY; ITALY
Lipari;10829707;23-07-15;02:32:18;385.087;148.183;8.8;MB;2.1;503570.16;1;SICILY; ITALY
Lipari;10796353;26-06-15;03:52:40;384.728;148.788;7.3;MB;1.8;252382.94;1;SICILY; ITALY
